"PMID","Title","Abstract"
"35850376","Investigating the Airway Opening Index during cardiopulmonary resuscitation.","Chest compressions during CPR induce oscillations in capnography (E CO ) waveforms. Studies suggest E CO  oscillation characteristics are associated with intrathoracic airflow dependent on airway patency. Oscillations can be quantified by the Airway Opening Index (AOI). We sought to evaluate multiple methods of computing AOI and their association with return of spontaneous circulation (ROSC). We conducted a retrospective study of 307 out-of-hospital cardiac arrest (OHCA) cases in Seattle, WA during 2019. E CO  and chest impedance waveforms were annotated for the presence of intubation and CPR. We developed four methods for computing AOI based on peak E CO  and the oscillations in E CO  during chest compressions (ΔE CO ). We examined the feasibility of automating ΔE CO  and AOI calculation and evaluated differences in AOI across the methods using nonparametric testing (α = 0.05). Median [interquartile range] AOI across all cases using Methods 1-4 was 28.0 % [17.9-45.5 %], 20.6 % [13.0-36.6 %], 18.3 % [11.4-30.4 %], and 22.4 % [12.8-38.5 %], respectively (p < 0.001). Cases with ROSC had a higher median AOI than those without ROSC across all methods, though not statistically significant. Cases with ROSC had a significantly higher median [interquartile range] ΔE CO  of 7.3 mmHg [4.5-13.6 mmHg] compared to those without ROSC (4.8 mmHg [2.6-9.1 mmHg], p < 0.001). We calculated AOI using four proposed methods resulting in significantly different AOI. Additionally, AOI and ΔE CO  were larger in cases achieving ROSC. Further investigation is required to characterize AOI's ability to predict OHCA outcomes, and whether this information can improve resuscitation care."
"35835250","Contribution of chest compressions to end-tidal carbon dioxide levels generated during out-of-hospital cardiopulmonary resuscitation.","Characterise how changes in chest compression depth and rate affect variations in end-tidal CO  (ETCO ) during manual cardiopulmonary resuscitation (CPR) in out-of-hospital cardiac arrest (OHCA). Retrospective analysis of adult OHCA monitor-defibrillator recordings having concurrent capnogram, compression depth, transthoracic impedance and ECG, and with atleast 1,000 compressions. Within each patient, during no spontaneous circulation, nearby segments with changes in chest compression depth and rate were identified. Average ETCO  within each segment was standardised to compensate for ventilation rate variability. Contributions of relative variations in depth and rate to relative variations in standardised ETCO  were characterised using linear and non-linear models. Normalisation between paired segments removed intra and inter-patient variation and made coefficients of the model independent of the scale of measurement and therefore directly comparable. A total of 394 pairs of segments from 221 patients were analysed (33% female, median (IQR) age 66 (55-74) years). Chest compression depth and rate were 50.4 (43.2-57.0)mm and 111.1 (106.5-116.1)compressions per minute. ETCO  before and after standardization was 32.1 (23.0-41.4)mmHg and 28.5 (19.4-38.7)mmHg. Linear model coefficient of determination was 0.89. Variation in compression depth mainly explained ETCO  variation (coefficient 0.95, 95% confidence interval (CI): 0.93-0.98) while changes in compression rate did not (coefficient 0.04, 95% CI: 0.01-0.07). Non-linear trend analysis confirmed the results. This study quantified the relative importance of chest compression characteristics in terms of their impact on CO  production during CPR. With ventilation rate standardised, variation in chest compression depth explained variations in ETCO  better than variation in chest compression rate."
"35750286","Association between trajectories of end-tidal carbon dioxide and return of spontaneous circulation among emergency department patients with out-of-hospital cardiac arrest.","We aimed to identify distinct trajectories of end-tidal carbon dioxide (EtCO ) during cardiopulmonary resuscitation in patients with out-of-hospital cardiac arrest (OHCA) and to investigate the association between EtCO  trajectories and OHCA outcomes. This was a secondary analysis of a prospectively collected database on adult patients with OHCA who had been resuscitated in the emergency department of a tertiary medical center between 2015 and 2020. The primary outcome was the return of spontaneous circulation (ROSC). Group-based trajectory modelling was used to identify the EtCO  trajectories. Multivariable logistic regression analysis was performed to evaluate the association between EtCO  trajectories and ROSC. The predictive performance of the EtCO  trajectories was assessed using the area under the receiver operating characteristic curve (AUC). The study comprised 655 patients with OHCA. In the primary analysis, three distinct EtCO  trajectories, including 10-mmHg, 30-mmHg, and 50-mmHg trajectories, were identified. Compared with the 10-mmHg trajectory, both 30-mmHg (odds ratio [OR]: 4.66, 95% confidence interval [CI]: 3.15-6.90) and 50-mmHg (OR: 7.58, 95% CI: 4.30-13.35) trajectories were associated with a higher likelihood of ROSC. In a sensitivity analysis of excluding EtCO  measured before tracheal intubation or after sodium bicarbonate administration, the predictive ability of the identified EtCO  trajectories remained. As a single predictor of ROSC, EtCO  trajectories had an acceptable discriminative performance (AUC: 0.69, 95% CI: 0.66-0.73). Three distinct EtCO  trajectories during cardiopulmonary resuscitation were identified and significantly associated with outcomes. Early identification of these EtCO  trajectories could potentially guide the ongoing resuscitation efforts."
"35388615","Out-of-hospital cardiac arrest outcomes, end-tidal carbon dioxide and extracorporeal cardiopulmonary resuscitation eligibility: New South Wales pilot data.","To describe on-scene times for out-of-hospital cardiac arrests (OHCA) transferred to hospital, the number of these that were extracorporeal cardiopulmonary resuscitation (ECPR) eligible and potential association between end-tidal carbon dioxide (ETCO  ) and survival so as to inform planned interventional studies. Prospective cohort study of all OHCA, of suspected medical cause, where resuscitation was commenced and who were transported to participating hospitals from October 2020 to May 2021. One hundred and forty-nine OHCA were included. Forty-four (30%) patients survived to hospital discharge. Eighteen (8%) met ECPR inclusion criteria. Median on-scene time was 33 min (interquartile range [IQR] 24-44). Initial hospital ETCO  for non-survivors was 35 mmHg (IQR 19-50), survivors 36 mmHg (IQR 33-45); P = 0.215. No patient with an ETCO  less than 20 mmHg on hospital arrival to survived to hospital discharge. Average on-scene time did not differ on survivorship. A small number of transferred patients with OHCA were ECPR eligible. ETCO  less than 20 mmHg portends adverse prognosis. Our data will be used for future interventional studies."
"35124336","Chest compression release velocity: An independent determinant of end-tidal carbon dioxide in out-of-hospital cardiac arrest.","Chest compression (CC) depth, CC rate and ventilatory rate (VR) are known to have an impact on end-tidal carbon dioxide (ETCO ) values. Chest compression release velocity (CCRV) is increasingly acknowledged as a novel metric in cardiopulmonary resuscitation (CPR). The objective of this study was to analyze whether CCRV would have any effect on ETCO  values. In out-of-hospital cardiac arrests (OHCA), effects of CC depth, CC rate, CCRV and VR on ETCO  were analyzed through linear mixed effect models. A stratification was made on a CCRV of 300, 400 and 500 mm/s. In these categories, mean ETCO  values were corrected for CC depth and compared through a one-way ANOVA. A 10 mm increase in CC depth was associated with a 1.5 mmHg increase in ETCO  (p < 0.001), a 100 mm/s increase in CCRV with a 0.8 mmHg increase (p = 0.010) and a 5 breaths per minute increase in VR with a 2.0 mmHg decrease (p < 0.001). CC depth was strongly correlated with CCRV (Pearson's r = 0.709, p < 0.001). After adjusting for CC depth, ETCO  was on average 6.5 mmHg higher at a CCRV of 500 than at 400 mm/s (p = 0.005) and 5.3 mmHg higher than at 300 mm/s (p = 0.033). In OHCA patients, higher CCRV values resulted in higher ETCO  values. This effect is independent of CC depth, despite the strong correlation between CCRV and CC depth."
"37593537","System.Xml.XmlElement","Control of the arterial partial pressure of carbon dioxide (PaCO ) is important in the ventilated patient. End-tidal carbon dioxide (ETCO ) levels are often used as a proxy, but are clinically limited. The difference between the PaCO  and ETCO  has been suggested to be 0.5-1.0 kPa. However, this has not been consistently reflected in the physiologically unstable pre-hospital patient. This study aims to elucidate the PaCO -ETCO  gradient for pre-hospital intubated patients. This was a retrospective, cohort study using data identified from the HEMSbase 2 database (Feb 2015-Nov 2018). Patients were included if they had documented ETCO  and arterial PaCO  measurements. Arterial PaCO  data that could not be linked to within 5 minutes of ETCO  were excluded. Bland-Altman plots were calculated to describe agreement. A total of 73 patients were identified. Aetiology was arranged into three categories: 13 (17.8%) medical, 22 (30.1%) traumatic and 38 (52.1%) out-of-hospital cardiac arrest (OHCA). The median PaCO -ETCO  gradient was 2.0 [1.3-3.1] kPa. A PaCO -ETCO  gradient of 0-1 kPa was seen for only 11 (15.1%) of total patients. The Bland-Altman agreement for all aetiologies was more than the accepted gradient of 0-1 kPa with the largest bias and widest limits of agreement seen for OHCA (-3.2 [0.3 - -6.8]). The magnitude of the differences between the ETCO  and PaCO , levels of variation and inability to predict this suggest that ETCO  is not a suitable surrogate upon which to base ventilatory settings in conditions where pH or PaCO  require precise control."
"34994342","Point-of-Care Ultrasound Use by EMS Providers in Out-of-Hospital Cardiac Arrest.","Paramedics received training in point-of-care ultrasound (POCUS) to assess for cardiac contractility during management of medical out-of-hospital cardiac arrest (OHCA). The primary outcome was the percentage of adequate POCUS video acquisition and accurate video interpretation during OHCA resuscitations. Secondary outcomes included POCUS impact on patient management and resuscitation protocol adherence. A prospective, observational cohort study of paramedics was performed following a four-hour training session, which included a didactic lecture and hands-on POCUS instruction. The Prehospital Echocardiogram in Cardiac Arrest (PECA) protocol was developed and integrated into the resuscitation algorithm for medical non-shockable OHCA. The ultrasound (US) images were reviewed by a single POCUS expert investigator to determine the adequacy of the POCUS video acquisition and accuracy of the video interpretation. Change in patient management and resuscitation protocol adherence data, including end-tidal carbon dioxide (EtCO2) monitoring following advanced airway placement, adrenaline administration, and compression pauses under ten seconds, were queried from the prehospital electronic health record (EHR). Captured images were deemed adequate in 42/49 (85.7%) scans and paramedic interpretation of sonography was accurate in 43/49 (87.7%) scans. The POCUS results altered patient management in 14/49 (28.6%) cases. Paramedics adhered to EtCO2 monitoring in 36/36 (100.0%) patients with an advanced airway, adrenaline administration for 38/38 (100.0%) patients, and compression pauses under ten seconds for 36/38 (94.7%) patients. Paramedics were able to accurately obtain and interpret cardiac POCUS videos during medical OHCA while adhering to a resuscitation protocol. These findings suggest that POCUS can be effectively integrated into paramedic protocols for medical OHCA."
"34879495","Clinical prediction rule of termination of resuscitation for out-of-hospital cardiac arrest patient with pre-hospital defibrillation given.","To derive a clinical prediction rule of termination of resuscitation (TOR) for out-of-hospital cardiac arrest (OHCA) with pre-hospital defibrillation given. This was a retrospective multicenter cohort study performed in three emergency departments (EDs) of three regional hospitals from 1/1/2012 to 31/12/2018. Patients of OHCA aged ≥18 years old were included. Those with post-mortem changes, return of spontaneous circulation and receiving no resuscitation in EDs were excluded. A TOR rule was derived by logistic regression analysis based on demographics and end-tidal carbon dioxide level of included subjects with pre-hospital defibrillation given. There were 447 included patients had received pre-hospital defibrillation, in which 148 had return of spontaneous circulation (ROSC), with 22 survived to discharge (STD). Independent predictors for death on or before ED arrival (no ROSC) included EMS call to ED time >20 min and ETCO2 level <20 mmHg from first three sets. A 2-criteria rule predicting death on or before ED arrival by fulfilling both of the independent predictors had a specificity of 0.95 (95% CI 0.90-0.98) and positive predictive value (PPV) of 0.95 (95% CI 0.90-0.98), if 2nd set of ETCO2 was used. The positive likelihood ratio was 10.04 (95% CI 4.83-20.89). The 2-criteria TOR rule for OHCA patients with pre-hospital defibrillation had a high specificity and PPV for predicting death on or before ED arrival."
"34624410","Pulse oximetry waveform: A non-invasive physiological predictor for the return of spontaneous circulation in cardiac arrest patients ---- A multicenter, prospective observational study.","This study aimed to investigate the predictive value of pulse oximetry plethysmography (POP) for the return of spontaneous circulation (ROSC) in cardiac arrest (CA) patients. This was a multicenter, observational, prospective cohort study of patients hospitalized with cardiac arrest at 14 teaching hospitals cross China from December 2013 through November 2014. The study endpoint was ROSC, defined as the restoration of a palpable pulse and an autonomous cardiac rhythm lasting for at least 20 minutes after the completion or cessation of CPR. 150 out-of-hospital cardiac arrest (OHCA) patients and 291 in-hospital cardiac arrest (IHCA) patients were enrolled prospectively. ROSC was achieved in 20 (13.3%) and 64 (22.0%) patients in these cohorts, respectively. In patients with complete end-tidal carbon dioxide (ETCO ) and POP data, patients with ROSC had significantly higher levels of POP area under the curve (AUCp), wave amplitude (Amp) and ETCO  level during CPR than those without ROSC (all p < 0.05). Pairwise comparison of receiver operating characteristic (ROC) curve analysis indicated no significant difference was observed between ETCO  and Amp (p = 0.204) or AUCp (p = 0.588) during the first two minutes of resuscitation. POP may be a novel and effective method for predicting ROSC during resuscitation, with a prognostic value similar to ETCO  at early stage."
"34416306","The association between end-tidal CO2 and return of spontaneous circulation after out-of-hospital cardiac arrest with pulseless electrical activity.","End-tidal carbon dioxide (ETCO2) has been suggested to have prognostic implications during out-of-hospital cardiac arrest (OHCA). Our objective was to determine if the change in ETCO2 (delta ETCO2) during resuscitation was predictive of future return of spontaneous circulation (ROSC) in patients with pulseless electrical activity (PEA) arrests. We performed a retrospective, observational study of adult (≥18 years of age) non-traumatic PEA OHCAs in two Canadian EMS systems over a two-year time frame beginning on January 1, 2018. Cases were excluded if there was a Do Not Resuscitate order (DNR), had no advanced airway, or had less than two ETCO2 recordings. We performed multivariable logistic regression to examine the association between ETCO2 measures and ROSC. Second, we examined the prognostic performance (sensitivity, specificity, NPV, PPV) for ETCO2 at specific thresholds for predicting ROSC. A total of 208 OHCA met inclusion criteria of which 67 (32%) obtained ROSC. After adjusting for pre-determined confounders, there was an association between delta ETCO2 and ROSC (odds ratio [OR] per 10 mmHg increase in ETCO2 of 1.74 (95% confidence interval [CI] 1.35 to 2.24); P value < 0.001). We also found significant associations between both initial ETCO2 and final ETCO2 with ROSC. Our analysis indicates that there is a positive linear relationship between delta ETCO2 and ROSC with values of delta ETCO2 > 20 mmHg being highly specific for ROSC in PEA patients. As such, patients with up-trending ETCO2 values should have resuscitation continued unless there is overwhelming clinical evidence to the contrary."
"34228034","Focused echocardiography, end-tidal carbon dioxide, arterial blood pressure or near-infrared spectroscopy monitoring during paediatric cardiopulmonary resuscitation: A scoping review.","To evaluate the individual use and predictive value of focused echocardiography, end-tidal carbon dioxide (EtCO ), invasive arterial blood pressure (BP) and near-infrared spectroscopy (NIRS) during cardiopulmonary resuscitation (CPR) in children. This scoping review was undertaken as part of the continuous evidence evaluation process of the International Liaison Committee on Resuscitation (ILCOR) and based on the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) extension for scoping reviews. PubMed, MEDLINE, CINAHL and EMBASE were searched from the last ILCOR reviews until September 2020. We included all published studies evaluating the effect of echocardiography, EtCO , BP or NIRS guided CPR on clinical outcomes and quality of CPR. We identified eight observational studies, including 288 children. Two case series reported the use of echocardiography, one in detecting pulmonary emboli, the second in cardiac standstill, where contractility was regained with the use of extracorporeal membrane oxygenation. The two studies describing EtCO  were ambivalent regarding the association between mean values and any outcomes. Mean diastolic BP was associated with increased survival and favourable neurological outcome, but not with new substantive morbidity in two studies describing an overlapping population. NIRS values reflected changes in EtCO  and cerebral blood volume index in two studies, with lower values in patients who did not achieve return of circulation. Although there seems some beneficial effect of these intra-arrest variables, higher quality paediatric studies are needed to evaluate whether echocardiography, EtCO , BP or NIRS guided CPR could improve outcomes."
"34089774","Resuscitative endovascular occlusion of the aorta (REBOA) for refractory out of hospital cardiac arrest. An Utstein-based case series.","Out of hospital cardiac arrest (OHCA) is still a leading cause of mortality worldwide. In recent years, resuscitative endovascular balloon occlusion of the aorta (REBOA) has been progressively studied as an adjunct to standard advanced life support (ALS) in both traumatic and non-traumatic refractory OHCA. Since January 2019, the REBOA procedure has been applied to all the patients experiencing both traumatic and non-traumatic refractory OHCA (≥15 min of cardiopulmonary resuscitation) not eligible for ECPR for clinical or logistic reasons. We aimed at describing the feasibility and effects of REBOA performed both in the Emergency Department and in the pre-hospital environment served by the local HEMS for refractory OHCA. Twenty consecutive patients experiencing refractory OHCA and in whom REBOA was attempted in 2019 and 2020 were included in the study, Utstein data and REBOA specific variables were recorded. Successful catheter placement was achieved in 18 out of 20 patients, 11 of these were non-traumatic OHCAs while 7 were traumatic OHCAs, the 2 failures were related to repeated arterial puncture failure. Median time between the EMS dispatch and REBOA catheter placing attempt was 46 min. An increase in etCO  over 10 mmHg was observed after balloon inflation in 12 out of 18 patients (8/11 non-traumatic and 4/7 traumatic OHCAs), a sustained ROSC was observed in 5 patients (1 traumatic and 4 non-traumatic OHCA) that were subsequently admitted to the ICU. Four out of the 5 patients reached the criteria for brain death in the subsequent 24 h while one patient experienced another episode of refractory cardiac arrest in ICU and subsequently died. Our data confirm the feasibility of REBOA technique as an adjunct to ALS in both the ED and prehospital phase and most of the treated patients experienced a transient ROSC after balloon inflation while 5 out of 18 experienced a sustained ROSC. However, while in the trauma setting increasing evidence suggests an improved survival when REBOA is applied to refractory OHCA, in non-traumatic OHCA this has yet to be demonstrated and large studies are needed."
"34003839","Assessment of the evolution of end-tidal carbon dioxide within chest compression pauses to detect restoration of spontaneous circulation.","Measurement of end-tidal CO2 (ETCO2) can help to monitor circulation during cardiopulmonary resuscitation (CPR). However, early detection of restoration of spontaneous circulation (ROSC) during CPR using waveform capnography remains a challenge. The aim of the study was to investigate if the assessment of ETCO2 variation during chest compression pauses could allow for ROSC detection. We hypothesized that a decay in ETCO2 during a compression pause indicates no ROSC while a constant or increasing ETCO2 indicates ROSC. We conducted a retrospective analysis of adult out-of-hospital cardiac arrest (OHCA) episodes treated by the advanced life support (ALS). Continuous chest compressions and ventilations were provided manually. Segments of capnography signal during pauses in chest compressions were selected, including at least three ventilations and with durations less than 20 s. Segments were classified as ROSC or non-ROSC according to case chart annotation and examination of the ECG and transthoracic impedance signals. The percentage variation of ETCO2 between consecutive ventilations was computed and its average value, ΔETavg, was used as a single feature to discriminate between ROSC and non-ROSC segments. A total of 384 segments (130 ROSC, 254 non-ROSC) from 205 OHCA patients (30.7% female, median age 66) were analyzed. Median (IQR) duration was 16.3 (12.9,18.1) s. ΔETavg was 0.0 (-0.7, 0.9)% for ROSC segments and -11.0 (-14.1, -8.0)% for non-ROSC segments (p < 0.0001). Best performance for ROSC detection yielded a sensitivity of 95.4% (95% CI: 90.1%, 98.1%) and a specificity of 94.9% (91.4%, 97.1%) for all ventilations in the segment. For the first 2 ventilations, duration was 7.7 (6.0, 10.2) s, and sensitivity and specificity were 90.0% (83.5%, 94.2%) and 89.4 (84.9%, 92.6%), respectively. Our method allowed for ROSC detection during the first compression pause in 95.4% of the patients. Average percent variation of ETCO2 during pauses in chest compressions allowed for ROSC discrimination. This metric could help confirm ROSC during compression pauses in ALS settings."
"32986490","Predictive Utility of End-Tidal Carbon Dioxide on Defibrillation Success in Out-of-Hospital Cardiac Arrest.","The likelihood of survival from ventricular fibrillation (VF) declines 7%-10% per minute until successful defibrillation. When VF duration is prolonged, immediate defibrillation of the ischemic myocardium is less likely to result in ROSC, and repeated unsuccessful defibrillations are associated with post-resuscitation myocardial dysfunction. Thus, the timing of defibrillation should be based upon the probability of shock success-a function of VF duration. Unfortunately, VF duration is often unknown in out-of-hospital cardiac arrest (OHCA) and a better predictor of shock success is needed. To assess the ability of end-tidal carbon dioxide (EtCO ) to predict successful defibrillation in OHCA. This retrospective study included adult patients among four EMS systems who experienced non-traumatic OHCA from August, 2015-July, 2017 and received one or more defibrillations. First and succedent shocks were analyzed separately. First shocks represented EMS-attempted defibrillation of patients who had not received a prior AED shock, whereas succedent shocks included all shocks subsequent to the first. Logistic regression provided odds ratios (OR) for first shocks resulting in ROSC, while a generalized estimating equation was used to analyze succedent shocks. Among 324 patients, 869 shocks were delivered by EMS (153 first and 716 succedent shocks). Layperson CPR was performed in 48.1% of cases and 21.6% received an AED shock before EMS arrival. First defibrillation ROSC was more likely with layperson CPR (OR = 4.41;p = 0.01) and increasing EtCO  (OR = 1.03/mmHg;p = 0.01). No other variables were statistically significant. Notably, only one patient with EtCO  < 20 mmHg was successfully defibrillated on the first shock. The probability of ROSC was higher with increasing values of EtCO  when layperson CPR was provided, yet remained relatively unchanged across all values of EtCO  ≥ 20 mmHg without layperson CPR. The optimal threshold first shock EtCO  was 27 and 32 mmHg for those with/without layperson CPR, respectively. EtCO  was not a predictor of ROSC for succedent shocks. An optimal defibrillation threshold EtCO2 of 27 and 32 mmHg was observed for patients with and without layperson CPR, respectively. Further studies are warranted to verify these results and to evaluate the clinical effect of delaying defibrillation in favor of chest compressions until these values are attained."
"32912645","Ultrasound-Guided Chest Compressions in Out-of-Hospital Cardiac Arrests.","There is a significant variability in survival rates for cardiopulmonary resuscitation (CPR) in out of-hospital cardiac arrest (OHCA), and some data indicate that ultrasound improves CPR. We evaluated the feasibility of ultrasound for monitoring chest compressions in OHCA. We planned a prospective study in patients with an ultrasound-integrated CPR for OHCA. Chest compressions were performed on the intermammillary line (IML), but the position was changed according to the quality of the heart squeezing, evaluated by ultrasound. End-tidal carbon dioxide (ETCO ) was used as the control parameter. Then we compared the area with the highest squeezing with the position of the heart in the chest computed tomography (CT) scans of 20 hospitalized patients. Chest compressions were good, partial, and inadequate on the IML in 58.4%, 48.9%, and 2.8% of cases, respectively. These percentages were 75%, 25%, and 0% after these modifications: none (47.2%), increased depth (8.3%), hands moved on the lower third of the sternum (27.8%), on left parasternal line of the lower part of the sternum (13.9%), and on the center of the sternum (1 case). Accordingly, ETCO  improved significantly (20.37 vs. 37.10, p < 0.0001). The CT scans showed that the larger biventricular area (BVA) was under the parasternal line of the lower third of the sternum, and the mean distance IML-BVA was 5.7 cm. Our study has demonstrated that CPR in OHCA can be improved using ultrasound and changing the position of the hands. This finding was connected with the ETCO  and confirmed by chest CT scans."
"32622015","The impact of ventilation rate on end-tidal carbon dioxide level during manual cardiopulmonary resuscitation.","Ventilation rate is a confounding factor for interpretation of end-tidal carbon dioxide (ETCO ) during cardiopulmonary resuscitation (CPR). The aim of our study was to model the effect of ventilation rate on ETCO  during manual CPR in adult out-of-hospital cardiac arrest (OHCA). We conducted a retrospective analysis of OHCA monitor-defibrillator files with concurrent capnogram, compression depth, transthoracic impedance and ECG. We annotated pairs of capnogram segments presenting differences in average ventilation rate and average ETCO  value but with other influencing factors (e.g. compression rate and depth) presenting similar values within the pair. ETCO  variation as a function of ventilation rate was adjusted through curve fitting using non-linear least squares as a measure of goodness of fit. A total of 141 pairs of segments from 102 patients were annotated. Each pair provided a single data point for curve fitting. The best goodness of fit yielded a coefficient of determination R  of 0.93. Our model described that ETCO  decays exponentially with increasing ventilation rate. The model showed no differences attributable to the airway type (endotracheal tube or supraglottic King-LT-D). Capnogram interpretation during CPR is challenging since many factors influence ETCO . For adequate interpretation, we need to know the effect of each factor on ETCO . Our model allows quantifying the effect of ventilation rate on ETCO  variation. Our findings could contribute to better interpretation of ETCO  during CPR."
"32308184","Prehospital Disposition and Patient Outcomes in Cardiac Arrest AFTER Resuscitation Termination Protocol Change in an Urban Setting.","Out-of-hospital cardiac arrest (OHCA) is a leading cause of death in the United States, and efforts have been made to develop termination of resuscitation protocols utilizing clinical criteria predictive of successful resuscitation and survival to discharge. A termination of resuscitation protocol utilizing longer resuscitation time and end-tidal carbon dioxide (EtCO2) monitoring criteria for termination was implemented for Emergency Medical Service (EMS) providers in an urban prehospital system in 2017. This study examines the effect the modified termination of resuscitation protocol had on rates of patient transport to a hospital, return of spontaneous circulation (ROSC), and survival to discharge. A retrospective analysis was performed utilizing data from the Cardiac Arrest Registry to Enhance Survival (CARES) database. A total of 1,005 prehospital cardiac arrest patients 18 years and older from 2016 through 2017 were included in the analysis. Patients with traumatic cardiac arrest or had valid do-not-resuscitate orders were excluded. Unadjusted analysis using chi-square statistics was performed, including an analysis stratified by Utstein style reporting. Adjusted analysis was also performed using logistic regression with multiple imputation for missing values. Unadjusted analysis showed a significant decrease in ROSC on emergency department (ED) arrival (30% versus 13%; P <.001) following the change in protocol. There was no significant difference in patient transport rate (62%) and a statistically non-significant decrease in overall survival (15% versus 11%). When stratified by Utstein style analysis, statistically significant decreases in ED arrival with ROSC were seen for unwitnessed asystolic, as well as bystander witnessed asystolic, pulseless electrical activity (PEA), and shockable OHCA. Adjusted analysis showed a decreased likelihood of ROSC with the protocol change (0.337; 95% CI, 0.235-0.482). The modification of termination of resuscitation protocol was not associated with a statistically significant change in transport rate or survival. A significant decrease in rate of arrivals to the ED with ROSC was seen, particularly for bystander witnessed OHCA."
"32023298","Modeling the impact of ventilations on the capnogram in out-of-hospital cardiac arrest.","Current resuscitation guidelines recommend waveform capnography as an indirect indicator of perfusion during cardiopulmonary resuscitation (CPR). Chest compressions (CCs) and ventilations during CPR have opposing effects on the exhaled carbon dioxide (CO2) concentration, which need to be better characterized. The purpose of this study was to model the impact of ventilations in the exhaled CO2 measured from capnograms collected during out-of-hospital cardiac arrest (OHCA) resuscitation. We retrospectively analyzed OHCA monitor-defibrillator files with concurrent capnogram, compression depth, transthoracic impedance and ECG signals. Segments with CC pauses, two or more ventilations, and with no pulse-generating rhythm were selected. Thus, only ventilations should have caused the decrease in CO2 concentration. The variation in the exhaled CO2 concentration with each ventilation was modeled with an exponential decay function using non-linear-least-squares curve fitting. Out of the original 1002 OHCA dataset (one per patient), 377 episodes had the required signals, and 196 segments from 96 patients met the inclusion criteria. Airway type was endotracheal tube in 64.8% of the segments, supraglottic King LT-D™ in 30.1%, and unknown in 5.1%. Median (IQR) decay factor of the exhaled CO2 concentration was 10.0% (7.8 - 12.9) with R2 = 0.98(0.95 - 0.99). Differences in decay factor with airway type were not statistically significant (p = 0.17). From these results, we propose a model for estimating the contribution of CCs to the end-tidal CO2 level between consecutive ventilations and for estimating the end-tidal CO2 variation as a function of ventilation rate. We have modeled the decrease in exhaled CO2 concentration with ventilations during chest compression pauses in CPR. This finding allowed us to hypothesize a mathematical model for explaining the effect of chest compressions on ETCO2 compensating for the influence of ventilation rate during CPR. However, further work is required to confirm the validity of this model during ongoing chest compressions."
"31687999","Implementation of a Team-Focused High-Performance CPR (TF-HP-CPR) Protocol Within a Rural Area EMS System.","Team-focused, high-performance cardiopulmonary resuscitation (TF-HP-CPR) improves the return of spontaneous circulation (ROSC) among patients with out-of-hospital cardiac arrest (OHCA) events. In 2010, the American Heart Association began endorsing TF-HP-CPR (). A rural-area Virginia emergency medical services (EMS) system receives assistant medical oversight from an emergency nurse practitioner (ENP). The ENP is responsible for assisting the physician medical director in promoting continuous quality improvement (QI) within the EMS system. In January 2018, a QI project implemented a TF-HP-CPR protocol. The QI project encompassed the provision of education for EMS personnel about TF-HP-CPR with mock code evaluations. The protocol incorporated a newly designated blind insertion airway device and integrated the routine monitoring of end-tidal carbon dioxide (ETCO2) values. The QI project also introduced postresuscitation attempt report cards that were completed by the team leader at the conclusion of each CPR event. A random 16-week sample of patients with OHCA just before implementation of the QI project was analyzed and compared with patients who experienced an OHCA event within a 16-week period after implementation of the TF-HP-CPR protocol. The preimplementation group had 13 patients compared with 11 patients in the postimplementation group. The rate of ROSC in the preimplementation group was 38.46% compared with 54.55% in the postimplementation group. Although the rate of ROSC increased by 16.09%, the findings were not statistically significant (p = 0.6824) and were perceived to be likely due to the small sample sizes. The implementation of a TF-HP-CPR protocol improved the rate of ROSC among patients with OHCA; however, the findings were not statistically significant. A more extensive study is essential for further evaluation."
